"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16656-8071","QB","Dan","Orlovsky","5.519999980926514","2","5000","WAS@DET","DET","WAS","","","",""
"16656-44500","QB","Keith","Wenning","0","0","5000","CLE@CIN","CIN","CLE","","","",""
"16656-14696","QB","Scott","Tolzien","-0.07000000029802322","2","5000","IND@TEN","IND","TEN","","","",""
"16656-27801","QB","Nate","Sudfeld","0","0","5000","WAS@DET","WAS","DET","","","",""
"16656-33702","QB","Ryan","Griffin","0","0","5000","TB@SF","TB","SF","","","",""
"16656-26877","QB","Jake","Heaps","0","0","5000","SEA@ARI","SEA","ARI","","","",""
"16656-31170","QB","Brandon","Allen","0","0","5000","OAK@JAC","JAC","OAK","","","",""
"16656-8051","QB","Luke","McCown","6.199999809265137","2","5000","NO@KC","NO","KC","","","",""
"16656-70127","QB","Griffin","Neal","0","0","5000","NO@KC","NO","KC","","","",""
"16656-34729","RB","Dwayne","Washington","3.7750000953674316","4","5000","WAS@DET","DET","WAS","Q","Ankle","",""
"16656-31798","QB","Bryce","Petty","0","0","5000","BAL@NYJ","NYJ","BAL","","","",""
"16656-23045","K","Justin","Tucker","10.666666666666666","6","5000","BAL@NYJ","BAL","NYJ","","","",""
"16656-30788","QB","Tyler","Bray","0","0","5000","NO@KC","KC","NO","","","",""
"16656-7919","QB","Kellen","Clemens","-0.10000000149011612","1","5000","SD@ATL","SD","ATL","","","",""
"16656-27982","QB","Jake","Rudock","0","0","5000","WAS@DET","DET","WAS","","","",""
"16656-24912","K","Dustin","Hopkins","10.666666666666666","6","5000","WAS@DET","WAS","DET","","","",""
"16656-24949","QB","EJ","Manuel","0.8500000238418579","2","5000","BUF@MIA","BUF","MIA","","","",""
"16656-6643","RB","Reggie","Bush","0.16666666666666666","3","4900","BUF@MIA","BUF","MIA","","","",""
"16656-29357","RB","Kenjon","Barner","3.799999952316284","4","4900","MIN@PHI","PHI","MIN","","","",""
"16656-11419","RB","C.J.","Spiller","6.849999904632568","2","4900","SEA@ARI","SEA","ARI","","","",""
"16656-8117","WR","Danny","Amendola","5.416666666666667","6","4900","NE@PIT","NE","PIT","","","",""
"16656-39449","WR","Charles","Johnson","2.4399999618530273","5","4900","MIN@PHI","MIN","PHI","","","",""
"16656-24671","WR","Adam","Humphries","6.8599998474121096","5","4900","TB@SF","TB","SF","","","",""
"16656-33766","RB","Rob","Kelley","2.200000047683716","4","4900","WAS@DET","WAS","DET","","","",""
"16656-30775","WR","Justin","Hunter","8.199999809265137","2","4900","BUF@MIA","BUF","MIA","","","",""
"16656-30733","WR","Cordarrelle","Patterson","4.420000076293945","5","4900","MIN@PHI","MIN","PHI","","","",""
"16656-6681","WR","Andre","Johnson","5","5","4900","IND@TEN","TEN","IND","","","",""
"16656-12540","D","Minnesota","Vikings","16.6","5","4900","MIN@PHI","MIN","PHI","","","",""
"16656-6668","K","Adam","Vinatieri","13","6","4900","IND@TEN","IND","TEN","","","",""
"16656-24891","RB","Chris","Thompson","7.650000254313151","6","4900","WAS@DET","WAS","DET","","","",""
"16656-45723","TE","Crockett","Gillmore","3.4200000762939453","5","4800","BAL@NYJ","BAL","NYJ","","","",""
"16656-30261","K","Caleb","Sturgis","10.8","5","4800","MIN@PHI","PHI","MIN","","","",""
"16656-40669","WR","Tyler","Boyd","5.283333460489909","6","4800","CLE@CIN","CIN","CLE","","","",""
"16656-25775","TE","Clive","Walford","5.7","5","4800","OAK@JAC","OAK","JAC","","","",""
"16656-12550","D","Seattle","Seahawks","8","5","4800","SEA@ARI","SEA","ARI","","","",""
"16656-12555","D","Baltimore","Ravens","8","6","4800","BAL@NYJ","BAL","NYJ","","","",""
"16656-33714","K","Cairo","Santos","8.4","5","4800","NO@KC","KC","NO","","","",""
"16656-31207","TE","C.J.","Uzomah","4.633333206176758","6","4800","CLE@CIN","CIN","CLE","","","",""
"16656-39427","WR","Quinton","Patton","4.233333269755046","6","4800","TB@SF","SF","TB","","","",""
"16656-16923","TE","Austin","Seferian-Jenkins","4.866666793823242","3","4800","BAL@NYJ","NYJ","BAL","Q","Ankle","",""
"16656-24589","WR","Jaron","Brown","5.033333460489909","6","4800","SEA@ARI","ARI","SEA","Q","Knee","",""
"16656-22258","RB","Travaris","Cadet","4.579999923706055","5","4800","NO@KC","NO","KC","","","",""
"16656-28095","RB","Thomas","Rawls","4.800000190734863","2","4800","SEA@ARI","SEA","ARI","O","Lower leg","",""
"16656-6724","K","Steven","Hauschka","8.6","5","4800","SEA@ARI","SEA","ARI","","","",""
"16656-33472","RB","C.J.","Prosise","1.600000023841858","1","4800","SEA@ARI","SEA","ARI","","","",""
"16656-54753","WR","Taylor","Gabriel","3.674999952316284","4","4700","SD@ATL","ATL","SD","Q","Concussion","",""
"16656-30403","WR","Chris","Conley","5.759999847412109","5","4700","NO@KC","KC","NO","","","",""
"16656-27441","RB","Damien","Williams","6.6","5","4700","BUF@MIA","MIA","BUF","","","",""
"16656-54687","RB","Charcandrick","West","4.150000095367432","4","4700","NO@KC","KC","NO","","","",""
"16656-22754","TE","Garrett","Celek","3.8","5","4700","TB@SF","SF","TB","","","",""
"16656-32058","K","Chris","Boswell","5.666666666666667","6","4700","NE@PIT","PIT","NE","","","",""
"16656-30989","RB","Kenyan","Drake","4.775000095367432","4","4700","BUF@MIA","MIA","BUF","","","",""
"16656-24569","K","Chandler","Catanzaro","6.333333333333333","6","4700","SEA@ARI","ARI","SEA","","","",""
"16656-39859","TE","Jack","Doyle","8.066666920979818","6","4700","IND@TEN","IND","TEN","","","",""
"16656-47523","WR","Tajae","Sharpe","4.666666666666667","6","4700","IND@TEN","TEN","IND","","","",""
"16656-10647","K","Matt","Bryant","10","6","4700","SD@ATL","ATL","SD","","","",""
"16656-12526","D","Buffalo","Bills","12.5","6","4700","BUF@MIA","BUF","MIA","","","",""
"16656-6702","K","Phil","Dawson","6.166666666666667","6","4700","TB@SF","SF","TB","","","",""
"16656-6636","K","Mike","Nugent","8.833333333333334","6","4600","CLE@CIN","CIN","CLE","","","",""
"16656-6642","K","Nick","Folk","7.166666666666667","6","4600","BAL@NYJ","NYJ","BAL","","","",""
"16656-32429","K","Josh","Lambo","9.833333333333334","6","4600","SD@ATL","SD","ATL","","","",""
"16656-29183","RB","D.J.","Foster","1.0333333015441895","3","4600","NE@PIT","NE","PIT","","","",""
"16656-24817","TE","Nick","O'Leary","2.549999952316284","4","4600","BUF@MIA","BUF","MIA","","","",""
"16656-48344","WR","Albert","Wilson","3.625","4","4600","NO@KC","KC","NO","","","",""
"16656-12546","D","Arizona","Cardinals","11.5","6","4600","SEA@ARI","ARI","SEA","","","",""
"16656-6810","K","Dan","Carpenter","7.666666666666667","6","4600","BUF@MIA","BUF","MIA","","","",""
"16656-7831","K","Sebastian","Janikowski","7.5","6","4600","OAK@JAC","OAK","JAC","","","",""
"16656-26094","WR","Brandon","Coleman","4.400000095367432","4","4600","NO@KC","NO","KC","","","",""
"16656-22110","K","Blair","Walsh","8.4","5","4600","MIN@PHI","MIN","PHI","","","",""
"16656-12537","D","Oakland","Raiders","4.333333333333333","6","4600","OAK@JAC","OAK","JAC","","","",""
"16656-12534","D","Tennessee","Titans","7.166666666666667","6","4600","IND@TEN","TEN","IND","","","",""
"16656-27134","WR","Dorial","Green-Beckham","3.720000076293945","5","4600","MIN@PHI","PHI","MIN","","","",""
"16656-6782","K","Matt","Prater","8.166666666666666","6","4600","WAS@DET","DET","WAS","","","",""
"16656-22054","WR","Jarius","Wright","5.199999809265137","1","4600","MIN@PHI","MIN","PHI","Q","Ankle","",""
"16656-22003","RB","Ronnie","Hillman","9.337499618530273","16","4500","MIN@PHI","MIN","PHI","","","",""
