"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17288-7761","TE","Jared","","Cook","4.628571646554129","7","4900","GB@CHI","GB","CHI","","","",""
"17288-7831","K","Sebastian","","Janikowski","9.384615384615385","13","4900","OAK@SD","OAK","SD","","","",""
"17288-32418","RB","Christine","","Michael","9.366666793823242","12","4900","GB@CHI","GB","CHI","","","",""
"17288-7900","K","Stephen","","Gostkowski","8.23076923076923","13","4900","NE@DEN","NE","DEN","","","",""
"17288-33578","RB","Jalen","","Richard","6.030769348144531","13","4900","OAK@SD","OAK","SD","","","",""
"17288-14317","TE","Julius","","Thomas","7.4555553860134545","9","4900","JAC@HOU","JAC","HOU","IR","Back","",""
"17288-14336","RB","Jacquizz","","Rodgers","7.637499809265137","8","4800","TB@DAL","TB","DAL","","","",""
"17288-25837","RB","Duke","","Johnson Jr.","7.661538344163161","13","4800","CLE@BUF","CLE","BUF","","","",""
"17288-12530","D","Dallas","","Cowboys","5.230769230769231","13","4800","TB@DAL","DAL","TB","","","",""
"17288-48380","K","Wil","","Lutz","8.76923076923077","13","4800","NO@ARI","NO","ARI","","","",""
"17288-11532","TE","Dennis","","Pitta","7.476922842172476","13","4800","PHI@BAL","BAL","PHI","","","",""
"17288-33244","WR","Eli","","Rogers","6.590000152587891","10","4800","PIT@CIN","PIT","CIN","","","",""
"17288-6668","K","Adam","","Vinatieri","9.461538461538461","13","4800","IND@MIN","IND","MIN","","","",""
"17288-22035","WR","Travis","","Benjamin","7.275000254313151","12","4800","OAK@SD","SD","OAK","","","",""
"17288-28202","RB","Jeremy","","Langford","5.111111111111111","9","4800","GB@CHI","CHI","GB","","","",""
"17288-22113","RB","Alfred","","Morris","2.8384616558368387","13","4800","TB@DAL","DAL","TB","","","",""
"17288-6782","K","Matt","","Prater","10","13","4800","DET@NYG","DET","NYG","","","",""
"17288-33714","K","Cairo","","Santos","8.615384615384615","13","4800","TEN@KC","KC","TEN","","","",""
"17288-24569","K","Chandler","","Catanzaro","6.615384615384615","13","4800","NO@ARI","ARI","NO","","","",""
"17288-29725","TE","Levine","","Toilolo","3.7599998474121094","10","4700","SF@ATL","ATL","SF","","","",""
"17288-62616","RB","Zach","","Zenner","4.550000190734863","8","4700","DET@NYG","DET","NYG","Q","Concussion","",""
"17288-12531","D","Denver","","Broncos","10.538461538461538","13","4700","NE@DEN","DEN","NE","","","",""
"17288-12541","D","New England","","Patriots","6.923076923076923","13","4700","NE@DEN","NE","DEN","","","",""
"17288-12555","D","Baltimore","","Ravens","9.615384615384615","13","4700","PHI@BAL","BAL","PHI","","","",""
"17288-52560","WR","Geronimo","","Allison","2.825000047683716","4","4700","GB@CHI","GB","CHI","","","",""
"17288-21952","WR","Michael","","Floyd","7.091666539510091","12","4700","NO@ARI","ARI","NO","","","",""
"17288-6768","WR","Eddie","","Royal","7.933333502875434","9","4700","GB@CHI","CHI","GB","Q","Toe","",""
"17288-26247","K","Brandon","","McManus","9","13","4700","NE@DEN","DEN","NE","","","",""
"17288-6810","K","Dan","","Carpenter","6.384615384615385","13","4700","CLE@BUF","BUF","CLE","","","",""
"17288-15006","RB","Shaun","","Draughn","5.318181818181818","11","4700","SF@ATL","SF","ATL","","","",""
"17288-29357","RB","Kenjon","","Barner","2.75","10","4700","PHI@BAL","PHI","BAL","","","",""
"17288-6897","K","Mason","","Crosby","7.769230769230769","13","4700","GB@CHI","GB","CHI","","","",""
"17288-12090","K","Nick","","Novak","9.583333333333334","12","4700","JAC@HOU","HOU","JAC","","","",""
"17288-22336","WR","Joshua","","Bellamy","3.65","10","4700","GB@CHI","CHI","GB","","","",""
"17288-31836","WR","Terrance","","Williams","6.666666666666667","12","4600","TB@DAL","DAL","TB","","","",""
"17288-24671","WR","Adam","","Humphries","6.458333333333333","12","4600","TB@DAL","TB","DAL","","","",""
"17288-40126","TE","Austin","","Hooper","4.720000076293945","10","4600","SF@ATL","ATL","SF","","","",""
"17288-12537","D","Oakland","","Raiders","6.076923076923077","13","4600","OAK@SD","OAK","SD","","","",""
"17288-12543","D","New York","","Giants","8.307692307692308","13","4600","DET@NYG","NYG","DET","","","",""
"17288-12547","D","Pittsburgh","","Steelers","6.6923076923076925","13","4600","PIT@CIN","PIT","CIN","","","",""
"17288-6427","K","Connor","","Barth","5.6923076923076925","13","4600","GB@CHI","CHI","GB","","","",""
"17288-32045","TE","Vance","","McDonald","7.509999847412109","10","4600","SF@ATL","SF","ATL","IR","Shoulder","",""
"17288-32058","K","Chris","","Boswell","6.416666666666667","12","4600","PIT@CIN","PIT","CIN","","","",""
"17288-60745","K","Jason","","Myers","7.3076923076923075","13","4600","JAC@HOU","JAC","HOU","","","",""
